age,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,gender_F,gender_M,residence_D,residence_H,location_R,location_U,TARGET_PREDICTION_PERCENT
20,0,1,2,1,1,3,3,3,3,0,0,1,0,4,5,80,78,87,True,False,False,True,False,True,80
24,1,1,6,0,0,1,5,5,4,0,1,0,1,2,1,85,76,70,False,True,True,False,False,True,94
19,1,1,3,0,1,3,5,2,4,1,1,0,1,3,5,59,75,67,False,True,True,False,False,True,70
22,1,1,13,1,1,1,5,5,1,1,0,2,0,3,4,61,77,78,False,True,False,True,False,True,72
19,0,1,3,0,1,4,4,5,2,1,1,0,0,3,5,82,81,76,False,True,True,False,False,True,79
20,0,0,8,0,0,5,5,5,4,1,0,4,0,5,2,87,86,95,False,True,False,True,True,False,86
21,1,1,3,1,0,4,5,1,1,1,0,4,1,3,4,84,94,84,False,True,False,True,False,True,76
22,0,1,1,1,0,2,3,4,2,1,1,0,1,4,5,53,57,73,True,False,True,False,True,False,73
21,1,1,4,1,1,2,4,5,3,1,0,1,0,4,5,90,90,80,False,True,False,True,True,False,87
23,1,1,4,0,0,3,4,4,4,1,1,0,0,4,4,97,99,92,True,False,False,True,False,True,94
21,1,1,6,0,6,1,5,5,1,1,0,1,0,4,5,83,92,69,False,True,False,True,False,True,81
19,0,1,8,0,1,3,2,4,4,1,1,0,0,4,1,97,97,95,False,True,True,False,True,False,91
18,1,0,1,0,0,5,5,5,4,1,0,3,1,4,3,84,79,96,False,True,True,False,True,False,85
16,0,1,2,1,1,1,1,1,2,1,1,1,1,2,4,56,94,99,True,False,True,False,False,True,99
26,1,1,2,0,0,4,5,1,3,0,0,3,1,3,4,74,84,74,False,True,True,False,True,False,85
19,0,1,6,1,1,2,5,3,5,1,0,0,0,4,5,89,91,91,False,True,False,True,False,True,90
24,0,0,5,1,0,4,4,4,4,1,0,1,1,4,4,89,92,79,False,True,True,False,True,False,87
21,0,1,1,1,0,4,4,2,4,1,0,1,0,4,4,86,80,80,True,False,True,False,False,True,82
19,0,1,3,1,1,5,1,4,1,1,1,2,0,5,2,62,59,61,True,False,False,True,True,False,65
21,0,0,6,0,1,5,4,1,5,0,0,0,0,5,5,88,87,89,True,False,True,False,False,True,95
19,0,1,5,0,1,4,5,5,4,1,1,0,0,3,3,96,96,93,True,False,False,True,False,True,94
22,0,1,5,0,1,4,4,4,4,0,0,3,1,6,5,87,90,78,True,False,False,True,False,True,83
21,0,1,3,0,1,1,4,0,1,1,1,3,1,2,4,75,74,78,False,True,False,True,True,False,79
23,0,1,5,0,1,3,5,4,4,1,0,1,1,7,5,100,77,75,False,True,True,False,True,False,84
18,1,1,7,1,1,4,4,1,0,0,0,3,1,5,5,46,30,32,False,True,True,False,False,True,36
19,0,1,2,0,1,3,4,4,4,1,0,1,0,4,5,97,96,87,False,True,False,True,False,True,93
19,0,1,2,1,1,3,5,5,2,1,1,0,0,4,4,89,77,75,False,True,True,False,True,False,84
22,0,0,4,1,1,3,5,0,5,1,0,0,0,2,2,65,46,69,False,True,False,True,True,False,96
21,0,1,3,1,0,3,1,3,3,1,1,1,0,4,3,71,75,80,True,False,False,True,False,True,72
25,0,0,4,1,0,2,3,2,4,1,0,1,0,4,2,88,91,77,False,True,True,False,False,True,87
18,0,0,3,1,3,5,3,4,2,1,0,0,1,3,3,77,98,98,True,False,False,True,False,True,93
20,1,1,4,1,1,2,3,3,1,1,0,1,0,4,3,78,82,71,True,False,False,True,True,False,98
26,1,1,7,1,0,3,5,4,1,1,0,3,0,3,3,75,79,68,False,True,False,True,True,False,92
23,1,1,5,0,1,5,5,5,4,0,0,0,0,6,5,86,54,89,False,True,False,True,False,True,95
21,1,1,2,0,1,3,4,3,2,1,0,0,0,2,5,71,87,71,True,False,True,False,False,True,83
20,0,0,4,0,0,3,3,3,3,0,1,1,0,4,3,92,88,80,False,True,True,False,False,True,87
19,0,1,1,0,1,3,3,4,4,1,1,2,0,3,5,80,80,80,False,True,False,True,False,True,80
19,1,0,4,1,2,3,5,5,4,1,1,0,0,4,4,91,92,88,False,True,True,False,False,True,87
17,1,1,2,0,1,3,5,3,4,1,1,0,0,3,4,86,89,36,True,False,False,True,False,True,80
18,0,0,8,0,1,4,5,5,4,0,0,0,1,4,2,84,76,94,True,False,False,True,True,False,84
19,1,0,6,1,0,4,1,0,5,1,1,3,1,4,5,70,66,64,True,False,True,False,False,True,67
19,1,1,2,0,1,3,5,5,5,1,1,1,0,3,5,83,87,70,False,True,True,False,False,True,75
20,1,1,2,0,1,4,3,4,5,1,1,2,0,3,5,88,89,62,False,True,False,True,False,True,80
22,0,1,3,0,1,3,4,3,5,1,0,2,0,4,5,98,97,95,False,True,True,False,False,True,94
20,0,1,8,0,1,3,3,3,3,1,1,2,0,5,3,99,54,59,True,False,True,False,False,True,34
16,0,1,2,0,1,3,3,2,5,1,0,0,1,6,4,88,54,23,True,False,True,False,False,True,73
23,0,1,2,0,1,3,5,2,4,1,1,0,1,8,3,95,54,84,True,False,False,True,True,False,81
16,1,1,2,0,0,5,5,4,2,1,1,1,0,3,4,84,83,90,True,False,True,False,True,False,83
21,1,1,1,0,0,3,3,4,4,1,0,1,0,5,3,75,65,70,True,False,True,False,False,True,80
22,0,1,2,0,1,4,4,5,2,1,0,0,0,4,4,87,90,88,True,False,True,False,False,True,87
16,1,1,3,1,1,3,4,4,3,1,1,2,1,5,3,88,82,89,True,False,True,False,False,True,96
21,0,1,2,1,0,4,5,4,3,1,0,1,0,4,5,84,83,66,False,True,False,True,False,True,60
15,1,1,2,0,1,4,5,1,2,1,1,0,0,4,4,67,69,61,False,True,True,False,True,False,62
16,0,1,3,1,1,4,4,3,4,0,1,4,1,4,3,94,84,80,True,False,True,False,False,True,86
27,1,1,2,1,0,5,5,2,1,0,1,0,1,4,2,77,74,80,True,False,True,False,False,True,77
23,1,1,10,0,0,2,3,1,0,0,0,1,0,3,5,96,99,97,True,False,False,True,False,True,97
22,1,0,3,0,3,5,5,4,2,1,0,0,2,5,3,80,94,98,False,True,True,False,False,True,94
22,1,0,5,1,0,4,3,1,5,0,1,4,0,5,1,52,52,53,True,False,True,False,False,True,55
15,1,1,2,0,1,3,4,2,2,1,0,3,1,3,5,70,73,97,False,True,True,False,False,True,81
16,1,1,1,0,0,3,5,3,2,1,1,1,0,4,5,86,75,92,False,True,True,False,False,True,78
27,1,1,9,0,1,2,3,3,2,1,0,3,0,5,2,65,81,59,False,True,False,True,True,False,70
19,0,1,6,0,1,3,5,5,4,1,1,0,0,4,5,96,95,95,True,False,True,False,True,False,93
22,0,0,6,2,3,3,4,2,2,1,1,0,2,5,3,76,98,88,False,True,False,True,False,True,93
22,1,1,10,1,0,3,4,3,2,1,1,4,0,5,4,80,82,71,True,False,True,False,True,False,99
21,1,1,5,0,0,1,5,4,4,1,1,1,0,5,5,79,83,86,True,False,True,False,False,True,84
18,0,1,10,1,0,3,4,2,1,1,0,0,1,4,1,55,71,90,False,True,False,True,True,False,83
16,1,1,2,0,1,3,1,2,4,1,1,1,1,4,5,76,94,82,True,False,True,False,False,True,82
24,1,1,3,0,0,4,2,3,3,1,1,1,1,4,2,88,91,79,True,False,False,True,False,True,89
20,1,1,4,1,1,1,5,1,1,0,0,1,0,6,5,81,86,49,False,True,False,True,True,False,73
15,0,1,2,1,1,5,5,1,2,1,0,1,1,1,4,58,36,78,False,True,True,False,False,True,91
19,0,0,10,1,0,1,3,1,0,0,0,4,1,5,2,32,32,30,True,False,True,False,False,True,31
20,1,1,3,0,0,3,3,3,3,0,1,1,1,4,4,92,90,70,False,True,False,True,False,True,84
19,1,1,6,1,0,1,4,5,4,1,1,4,1,3,3,71,52,74,True,False,False,True,False,True,66
20,1,1,4,1,1,4,5,4,3,1,0,1,1,4,5,90,65,83,False,True,True,False,False,True,77
23,1,1,4,0,0,4,5,4,0,1,0,0,0,4,4,83,34,96,False,True,False,True,False,True,95
29,0,0,1,1,1,1,2,2,3,1,0,0,1,11,4,67,88,94,False,True,False,True,True,False,83
17,0,0,1,0,0,5,4,5,4,1,0,0,0,4,3,86,75,92,True,False,True,False,True,False,81
20,1,1,6,0,1,3,5,3,3,1,0,1,1,5,4,90,96,70,False,True,False,True,False,True,85
25,1,0,6,1,0,4,3,2,1,1,0,1,1,5,2,62,50,60,True,False,False,True,False,True,85
24,0,1,3,1,1,4,5,5,1,1,1,0,1,2,5,90,98,71,True,False,True,False,False,True,86
24,0,0,5,1,0,5,5,5,3,1,0,4,1,3,5,67,63,81,True,False,False,True,True,False,78
22,1,1,1,0,0,3,3,2,1,0,0,0,1,7,4,84,71,68,False,True,True,False,False,True,41
21,1,1,8,1,0,4,3,3,1,1,0,4,0,4,2,62,50,68,True,False,True,False,True,False,89
17,0,1,1,0,1,4,5,3,2,1,1,2,0,5,5,86,89,77,False,True,True,False,False,True,97
21,1,1,6,0,1,3,4,4,1,1,0,1,0,4,4,80,78,81,True,False,True,False,False,True,89
23,1,1,8,0,1,4,3,2,1,1,0,1,1,5,5,69,78,73,False,True,False,True,True,False,64
23,1,1,6,1,1,2,5,3,1,1,0,0,0,5,5,71,64,84,False,True,False,True,True,False,53
20,1,1,3,1,1,3,4,3,3,1,0,2,1,3,3,90,93,79,True,False,False,True,True,False,89
22,1,1,3,0,1,4,3,3,3,1,1,0,1,4,3,89,92,80,True,False,False,True,False,True,92
19,1,1,3,0,1,1,2,4,4,1,1,1,0,4,4,75,80,73,False,True,True,False,False,True,89
23,0,0,5,1,1,3,4,3,3,1,1,1,1,3,4,89,92,79,False,True,True,False,True,False,86
18,1,1,1,0,0,3,4,3,3,1,0,1,0,4,5,86,94,89,True,False,False,True,True,False,86
15,1,1,2,1,0,4,5,1,1,1,1,2,1,4,3,59,57,52,True,False,False,True,True,False,56
14,0,0,8,0,1,5,4,0,3,0,0,0,0,7,1,73,90,69,False,True,False,True,False,True,77
20,0,1,0,0,0,3,1,3,3,1,0,3,0,4,3,70,80,80,False,True,False,True,False,True,77
22,0,1,5,0,1,5,5,5,5,0,0,3,1,6,4,87,89,78,False,True,False,True,False,True,83
20,0,0,4,0,0,4,3,4,3,0,1,1,0,4,2,90,91,80,True,False,True,False,False,True,85
15,0,1,2,0,1,5,1,4,3,1,1,1,0,5,4,98,65,96,True,False,True,False,False,True,93
21,0,0,2,0,0,4,3,1,1,1,0,1,0,4,4,95,94,96,True,False,True,False,False,True,97
15,1,1,2,0,1,4,5,4,3,1,0,3,0,4,4,60,69,73,False,True,True,False,False,True,70
21,1,1,2,1,1,4,4,4,3,1,1,3,0,6,5,72,76,71,True,False,True,False,True,False,72
16,1,1,2,0,0,1,3,2,2,1,1,1,0,3,4,76,69,72,False,True,False,True,False,True,74
18,0,0,2,1,0,5,3,4,4,1,1,0,1,5,5,83,93,95,False,True,True,False,False,True,91
26,1,1,8,1,0,1,4,3,2,1,0,3,0,3,5,50,73,89,True,False,True,False,True,False,70
16,0,0,1,0,1,1,5,3,1,1,1,2,0,4,5,82,82,81,False,True,True,False,False,True,80
21,1,1,4,1,1,5,5,5,4,1,1,0,1,4,5,56,68,70,False,True,True,False,False,True,75
24,0,1,3,0,0,2,4,5,5,0,1,0,0,7,4,75,90,50,True,False,False,True,False,True,91
21,0,0,2,0,0,4,2,1,2,1,0,0,0,4,4,95,94,96,True,False,True,False,False,True,97
18,0,0,0,2,1,3,5,2,4,1,0,0,0,4,5,93,89,92,False,True,True,False,False,True,89
19,0,1,7,0,1,5,5,5,4,1,0,0,0,4,5,77,75,70,False,True,False,True,False,True,73
19,0,1,2,0,1,4,5,3,3,1,0,1,1,3,5,91,89,87,False,True,True,False,False,True,88
20,0,1,2,0,1,3,5,3,3,1,1,1,0,4,5,85,85,85,False,True,True,False,False,True,85
22,0,1,1,0,1,2,2,2,2,1,0,0,0,3,2,80,82,80,False,True,True,False,False,True,82
23,0,0,2,1,1,3,3,2,4,1,1,2,0,9,3,68,67,78,True,False,True,False,False,True,65
18,0,1,1,0,1,3,4,2,2,1,0,2,1,4,3,63,72,93,False,True,True,False,True,False,76
26,0,0,4,1,0,2,4,2,2,1,0,0,1,6,1,87,90,79,False,True,True,False,True,False,93
21,1,1,2,0,0,5,2,3,4,1,0,4,0,5,3,85,80,79,True,False,False,True,True,False,86
20,0,1,2,1,0,3,4,2,3,1,0,1,0,5,5,83,85,94,True,False,True,False,False,True,86
21,1,1,6,1,1,3,3,3,3,1,0,2,1,5,4,88,92,77,False,True,True,False,True,False,82
21,1,1,8,1,1,5,4,3,1,1,0,3,1,3,4,78,85,79,False,True,False,True,True,False,96
19,0,1,0,0,1,4,4,4,1,1,0,1,0,4,4,88,85,65,False,True,False,True,False,True,79
20,0,1,2,0,1,2,3,4,2,0,0,1,0,3,3,97,68,57,False,True,False,True,False,True,76
20,0,1,2,0,1,1,4,3,1,1,0,0,0,4,4,87,65,65,True,False,True,False,True,False,81
23,1,1,6,0,0,3,4,1,0,0,0,3,0,3,2,75,67,82,False,True,True,False,False,True,75
19,0,0,7,2,2,4,4,5,4,1,1,0,1,5,4,76,85,97,False,True,True,False,False,True,92
20,0,1,1,0,1,5,2,4,3,1,1,0,1,5,4,92,70,98,True,False,True,False,False,True,90
21,1,1,3,1,1,2,3,2,5,1,1,0,1,8,5,97,72,56,True,False,False,True,False,True,98
23,0,1,2,1,0,4,4,4,5,1,0,2,0,5,4,89,91,80,False,True,True,False,True,False,95
20,0,1,4,1,1,3,5,4,3,0,0,1,0,5,5,75,76,89,False,True,False,True,True,False,87
18,1,1,10,0,0,4,5,2,1,1,0,0,1,4,1,71,80,61,True,False,False,True,True,False,74
27,1,0,8,0,1,1,4,3,3,1,1,3,1,4,5,51,57,83,False,True,False,True,True,False,78
19,1,1,5,1,1,2,4,3,4,1,1,1,0,3,5,90,85,76,True,False,False,True,True,False,87
17,0,1,1,0,1,1,4,3,3,1,0,1,0,4,4,82,82,65,True,False,True,False,False,True,89
19,1,1,1,1,1,3,3,5,1,1,1,0,1,2,5,68,50,60,False,True,False,True,False,True,62
19,0,0,6,0,1,5,4,4,5,1,0,4,1,6,5,71,85,72,False,True,False,True,False,True,76
18,1,1,6,0,1,5,1,2,1,0,0,1,0,5,2,62,57,53,True,False,True,False,False,True,60
15,0,1,4,0,0,2,3,4,2,1,1,1,0,6,3,92,92,89,False,True,True,False,False,True,88
23,0,1,3,0,0,3,3,5,5,0,0,1,0,5,4,83,76,96,False,True,True,False,False,True,87
22,0,1,3,0,1,5,2,2,5,0,0,3,0,4,5,83,32,98,False,True,False,True,False,True,90
19,0,1,2,1,1,2,4,5,2,1,0,0,1,5,5,54,89,88,True,False,False,True,True,False,80
15,1,1,1,0,1,4,5,4,4,1,0,4,0,4,4,60,80,76,False,True,True,False,True,False,79
18,0,1,5,0,1,3,4,4,4,1,1,1,0,6,5,100,99,95,True,False,False,True,True,False,97
21,1,0,5,0,0,2,2,0,3,0,0,3,0,6,5,66,61,65,True,False,False,True,True,False,67
19,0,1,2,1,1,3,5,3,4,1,0,1,0,4,5,68,67,75,False,True,True,False,False,True,76
20,0,1,6,1,1,4,4,5,5,1,1,1,0,4,4,76,78,72,True,False,True,False,False,True,75
21,0,0,2,2,2,5,4,4,2,1,0,0,0,4,4,95,84,94,True,False,True,False,False,True,90
18,1,0,4,0,0,3,4,5,0,0,0,2,1,6,4,70,70,69,True,False,True,False,False,True,72
21,0,1,5,0,1,3,4,4,2,1,0,0,0,4,4,65,66,75,False,True,False,True,True,False,72
19,0,1,6,0,0,3,1,3,4,1,1,1,0,3,5,90,88,90,True,False,True,False,False,True,87
15,0,1,2,1,1,5,1,4,3,1,1,3,1,3,4,67,76,81,True,False,True,False,True,False,75
22,0,0,6,0,1,5,5,1,1,0,0,0,0,5,4,54,32,94,True,False,False,True,True,False,86
20,1,1,3,0,0,5,3,5,4,1,0,0,1,5,3,87,90,81,True,False,False,True,False,True,87
19,1,1,1,0,1,3,3,5,5,0,1,0,0,3,4,77,51,62,True,False,False,True,True,False,49
21,0,1,3,0,1,4,2,3,5,1,0,0,0,4,5,87,87,86,True,False,True,False,False,True,75
21,0,1,4,1,0,3,5,3,2,0,0,1,1,5,4,92,82,75,True,False,False,True,True,False,83
21,0,1,2,1,1,4,4,4,4,1,0,1,0,4,5,89,91,91,True,False,True,False,False,True,88
22,0,1,2,0,1,3,3,3,3,1,0,3,0,4,4,88,83,64,False,True,False,True,True,False,78
23,1,0,2,0,0,4,4,5,5,1,0,2,0,4,3,82,72,60,False,True,False,True,True,False,62
21,1,0,6,1,1,4,4,4,4,1,1,2,1,5,4,89,90,78,False,True,True,False,True,False,84
22,1,1,6,0,0,2,2,5,5,1,1,1,0,4,4,90,92,91,True,False,True,False,False,True,92
18,0,1,1,0,1,1,3,3,2,1,0,0,0,4,3,86,89,60,True,False,True,False,False,True,76
20,1,1,9,1,1,1,5,2,2,1,0,1,0,3,5,87,75,75,True,False,True,False,False,True,83
21,1,1,6,1,1,5,2,2,4,1,1,0,1,3,5,89,76,99,True,False,True,False,False,True,95
22,0,1,5,0,1,4,4,4,4,1,0,3,1,6,5,87,90,77,True,False,False,True,False,True,82
